House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
412730,WA,7,Nay,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Nay,Rep. Mike Gallagher [R],Republican
412732,WY,0,Nay,Rep. Liz Cheney [R],Republican
412735,KS,4,Yea,Rep. Ron Estes [R],Republican
412738,SC,5,Yea,Rep. Ralph Norman Jr. [R],Republican
412739,CA,34,Nay,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Nay,Rep. John Curtis [R],Republican
412744,PA,17,Nay,Rep. Conor Lamb [D],Democrat
412745,AZ,8,Yea,Rep. Debbie Lesko [R],Republican
412746,TX,27,Yea,Rep. Michael Cloud [R],Republican
412747,OH,12,Nay,Rep. Troy Balderson [R],Republican
412748,OK,1,Yea,Rep. Kevin Hern [R],Republican
412749,NY,25,Nay,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Nay,Rep. Mary Scanlon [D],Democrat
412751,PA,7,Nay,Rep. Susan Wild [D],Democrat
412753,AZ,9,Nay,Rep. Greg Stanton [D],Democrat
412754,CA,10,Nay,Rep. Josh Harder [D],Democrat
412758,CA,45,Nay,Rep. Katie Porter [D],Democrat
412760,CA,49,Nay,Rep. Mike Levin [D],Democrat
412761,CO,2,Nay,Rep. Joe Neguse [D],Democrat
412762,CO,6,Nay,Rep. Jason Crow [D],Democrat
412763,CT,5,Nay,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Nay,Rep. Michael Waltz [R],Republican
412766,FL,17,Yea,Rep. Gregory Steube [R],Republican
412769,GA,6,Nay,Rep. Lucy McBath [D],Democrat
412772,IA,3,Nay,Rep. Cynthia Axne [D],Democrat
412773,ID,1,Yea,Rep. Russ Fulcher [R],Republican
412774,IL,4,Nay,Rep. Jesús García [D],Democrat
412775,IL,6,Nay,Rep. Sean Casten [D],Democrat
412776,IL,14,Nay,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Yea,Rep. James Baird [R],Republican
412778,IN,6,Yea,Rep. Greg Pence [R],Republican
